fecha_inicio,fecha_fin,descripcion,ambito
2026-10-12,2026-10-12,Fiesta Nacional / Día del Pilar,nacional
2026-10-13,2026-10-14,Fiestas del Pilar,provincial
2026-11-02,2026-11-02,Sustitución de Todos los Santos,nacional
2026-11-03,2026-11-03,No lectivo autonómico,autonomico
2026-12-07,2026-12-07,Sustitución del Día de la Constitución,nacional
2026-12-08,2026-12-08,Inmaculada Concepción,nacional
2026-12-23,2027-01-06,Vacaciones de Navidad,vacaciones
2027-01-29,2027-01-29,San Valero,local
2027-03-05,2027-03-05,Cincomarzada,local
2027-03-25,2027-04-02,Vacaciones de Semana Santa,vacaciones
2027-04-23,2027-04-23,San Jorge - Día de Aragón,autonomico
2027-04-24,2027-04-24,No lectivo autonómico (sábado),autonomico
2027-05-03,2027-05-03,Puente del 1 de mayo,provincial
